,Unnamed: 0,Mean,Maximum_value,Minimum_value,Range,Standard Deviation,Variance,Absolute_mean,Absolute_MAX,RMS,Crest Factor,Shape factor,Impulse Factor,Kurtosis,Skewness,Clearance Factor,FAULT TYPE,Label,Label_no
0,0,0.08382948582875,2.826181333,-2.236072,5.062253333,0.5738516939723931,0.3293057666749851,0.42106977083125,2.826181333,0.5799423672825582,4.873210671333888,1.3773070580148077,6.711907452821244,2.8074861997903,-0.0019804074647416,8.27384118042808,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
1,1,0.0864615549968749,2.716422667,-2.59164,5.308062667,0.6028789018834732,0.3634629703362224,0.434774214989375,2.716422667,0.6090472648561029,4.460117996986322,1.4008357530379,6.247892752946224,2.897447114618914,-0.0358428262552337,7.795791795388594,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
2,2,0.076461205001875,2.498157333,-2.565765333,5.063922666,0.5728578822734168,0.3281661532827838,0.412407234996875,2.565765333,0.5779381187922481,4.4395156671130005,1.4013772546852323,6.221436277710894,2.8539357099471143,-0.099081209340419,7.776081194756503,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
3,3,0.090059750845,2.836197333,-2.148849333,4.985046666,0.5914500248873187,0.3498131319392099,0.42945660582875,2.836197333,0.5982674073200657,4.740685015258853,1.3930799973737755,6.604153468606699,2.730604834349569,0.0662727701398793,8.25330039111477,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
4,4,0.08322669999375,2.575364,-2.432218667,5.007582666999999,0.55750927281564,0.3108165892754236,0.401714111655,2.575364,0.5636872119068104,4.5687820223705256,1.403204905061727,6.410937343948159,3.0110288479681246,-0.1164923422499202,7.987289356264221,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
5,5,0.087964215835,2.906726667,-2.58538,5.492106667,0.6290890030528231,0.3957529737619949,0.45085276417,2.906726667,0.635209160064196,4.576015035277889,1.4089059900377632,6.447174993705883,3.093693744100409,0.095664968014453,8.073975132165964,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
6,6,0.087673125838125,2.695138667,-2.233568,4.928706667,0.5770793232574553,0.3330205453312825,0.415956394168125,2.695138667,0.5837012269350734,4.617325684154827,1.4032750430545078,6.47937789822905,2.9780221734142573,0.0071787845186231,8.107677187821704,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
7,7,0.089563645843125,2.9735,-2.708910667,5.682410667,0.5724893048909612,0.3277440042145359,0.416114980841875,2.9735,0.5794528892595572,5.131564714086818,1.3925307089093988,7.145861449121774,3.577375360330545,-0.0717032641352935,8.816720611571169,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
8,8,0.090152607493125,2.843709333,-2.437226667,5.2809360000000005,0.5997271944758598,0.3596727077938856,0.4383066808406249,2.843709333,0.6064653332480721,4.688989093193218,1.3836552344694746,6.487944303167071,2.698061736147996,-0.0472879722901677,8.027739222267808,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
9,9,0.086826460836875,2.778605333,-2.286986667,5.065592,0.5790027614667295,0.3352441977860984,0.414272975826875,2.778605333,0.5854767562316678,4.745884961999296,1.4132632114442798,6.707184622540238,3.144014533300563,-0.1092551457461497,8.379216041895235,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
10,10,0.0886755083368749,3.108298667,-2.539890667,5.648189334,0.5800843496511046,0.3364978527101449,0.416097504988125,3.108298667,0.5868229703146838,5.296825148704004,1.4103015838353343,7.470120896516089,4.250247930312947,0.2713966266643944,9.29763797170378,INNER RACE FAULT OF 0.007 INCH,IR_7_0,0
