,Unnamed: 0,Mean,Maximum_value,Minimum_value,Range,Standard Deviation,Variance,Absolute_mean,Absolute_MAX,RMS,Crest Factor,Shape factor,Impulse Factor,Kurtosis,Skewness,Clearance Factor,FAULT TYPE,Label,Label_no
0,0,0.02109714346,1.548134769,-1.476162462,3.0242972310000003,0.2989376058961178,0.0893636922189026,0.2039897296174999,1.548134769,0.2996811333418813,5.1659400501327575,1.4690991252540595,7.589278008764946,4.5530564799716,-0.0978535860513419,9.59758622838618,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
1,1,0.021229353454375,1.362467077,-1.394593846,2.757060923,0.2779901391397583,0.0772785174589421,0.192229558835625,1.394593846,0.2787995747970806,5.002137636024125,1.4503470563311307,7.25483559577075,4.696206108413625,-0.0140779217984523,9.109635060850003,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
2,2,0.020256814604375,1.572542769,-1.2204,2.792942769,0.2954252893054321,0.0872761015611982,0.202345970771875,1.572542769,0.296118962748275,5.310510189571304,1.4634290053747587,7.771554644756855,3.7355283714025935,-0.0731381044095359,9.953076954791284,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
3,3,0.020034639220625,1.432770462,-1.398974769,2.831745231,0.2685007769810805,0.0720926672394439,0.1814028115368749,1.432770462,0.2692471987006449,5.321394127457521,1.4842504171767656,7.898281453640815,5.582666109211912,0.0589763037560022,10.071041768160242,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
4,4,0.019870093849375,1.271302154,-1.161361846,2.432664,0.2861344520516833,0.081872924650917,0.196291430781875,1.271302154,0.2868235438043746,4.432349371106997,1.461212762380349,6.476605468390058,3.5875585512554657,-0.0679838896599555,8.281395390820611,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
5,5,0.02154801346125,1.516842462,-1.284862154,2.8017046160000003,0.2680390511182314,0.0718449329243618,0.181871544235,1.516842462,0.2689037928488329,5.640836992034206,1.4785369199998477,8.340185752423459,4.830472161254455,-0.128761800117739,10.665672247266206,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
6,6,0.020966758853125,1.285279385,-1.500779077,2.786058462,0.2826742969757835,0.0799047581707534,0.194816128855625,1.500779077,0.2834508125717027,5.294671986944322,1.4549658400294128,7.703566875164646,4.268979011368471,0.0350662270016551,9.759497018143469,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
7,7,0.021160380008125,1.448208,-1.324916308,2.773124308,0.2755097173952271,0.0759056043791979,0.1872372623043749,1.448208,0.2763211285104456,5.241032445860376,1.4757806491597538,7.734614265219157,4.743098537246235,-0.1272823931948385,9.855217290481672,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
8,8,0.0231160188531249,1.265669538,-1.313233846,2.578903384,0.2751404930109797,0.0757022908943249,0.191490538836875,1.313233846,0.2761098354313787,4.756200893562072,1.4418980546427325,6.857956815917178,3.687386389641357,0.0735787911844703,8.669329642338466,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
9,9,0.023322808846875,1.345777846,-1.228327385,2.574105231,0.2943861721087079,0.0866632183288177,0.201910877316875,1.345777846,0.2953086042453312,4.557191448719113,1.4625690709167667,6.665207263142947,3.8688395905920654,-0.0534493004322382,8.533698977924207,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
